,%_casa_vitorias,%_fora_vitorias,%_vitorias,total,total_vitorias
Brazil,71.72,53.4,64.05,1021,654
Argentina,65.96,39.06,54.13,1018,551
Germany,62.17,53.7,58.22,986,574
Mexico,58.74,39.74,51.02,935,477
England,62.1,51.72,56.91,1049,597
South Korea,59.52,44.58,52.82,905,478
Sweden,58.5,40.59,49.19,1053,518
France,58.22,39.47,50.23,880,442
Italy,62.45,41.4,53.1,838,445
Hungary,56.0,38.09,46.89,966,453
Egypt,64.44,27.86,49.49,685,339
Spain,67.81,47.74,58.12,733,426
Netherlands,57.47,44.36,51.4,823,423
United States,54.71,27.21,44.03,729,321
Belgium,53.36,33.42,44.1,805,355
Denmark,54.37,36.43,45.55,832,379
Scotland,56.57,38.76,47.42,814,386
Saudi Arabia,56.35,35.98,48.18,658,317
Austria,50.34,31.41,41.53,821,341
Japan,52.08,42.24,48.1,686,330
Chile,52.59,22.37,37.78,794,300
Poland,51.6,35.27,43.02,853,367
Portugal,58.26,38.44,48.93,652,319
Uruguay,55.43,35.89,43.53,919,400
China PR,57.39,35.23,47.78,609,291
Costa Rica,60.06,26.61,43.36,655,284
Romania,56.85,31.68,43.59,725,316
Kenya,51.05,20.42,37.82,669,253
Morocco,61.98,30.34,47.41,580,275
Malaysia,47.74,23.57,37.76,678,256
Russia,61.09,43.24,50.97,718,366
Switzerland,44.34,26.21,35.41,836,296
Ghana,61.92,34.23,47.34,638,302
Iran,63.27,45.89,55.62,525,292
Nigeria,63.79,31.8,46.84,617,289
Ivory Coast,63.99,36.3,49.75,589,293
Tunisia,56.17,28.76,43.02,623,268
Trinidad and Tobago,56.52,32.28,43.43,700,304
Zambia,54.97,38.12,45.18,768,347
Thailand,50.58,21.82,36.54,676,247
Australia,57.05,42.02,50.46,543,274
Algeria,56.13,27.2,43.53,549,239
Uganda,57.14,29.09,41.84,662,277
Norway,41.2,32.7,36.93,834,308
Indonesia,49.28,21.1,37.8,582,220
Qatar,48.66,31.33,41.58,570,237
Iraq,56.45,33.79,45.06,577,260
Kuwait,46.69,34.15,41.48,593,246
Cameroon,57.3,30.17,43.4,576,250
United Arab Emirates,49.53,27.62,40.11,556,223
Bulgaria,49.35,26.41,36.57,700,256
Malawi,43.55,21.54,34.45,595,205
Honduras,51.71,26.91,39.68,567,225
Senegal,60.0,33.43,44.85,582,261
Republic of Ireland,45.85,29.52,38.42,596,229
